Station Code,State,District,Block,Latitude,Longitude,Month,Groundwater Level,Avg Temperature (°C),Total Rainfall (mm),Soil pH,Clay (%),Sand (%),Silt (%),Organic Carbon (g/kg),Nitrogen (g/kg)
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2024-09,9.0,24.87666666666667,55.6,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2024-10,5.26,23.702956989247312,242.1,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2024-11,5.9,23.49277777777778,46.7,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2024-12,5.35,22.953763440860214,104.0,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2025-01,15.55,22.038844086021506,3.3000000000000003,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2025-02,15.25,23.755803571428572,0.0,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2025-03,31.76,26.374327956989248,21.6,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2025-04,17.0,26.829722222222223,25.3,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2025-05,17.07,25.45215053763441,127.1,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2025-06,16.03,24.664305555555554,110.5,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2025-07,16.1,24.15,215.1,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2025-08,15.0,23.711827956989247,179.6,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2025-09,14.3,23.84888888888889,128.8,6.5,20.1,45.4,13.9,10.3,1.0
010801D,Karnataka,Ramanagara,Kanakapura,12.68081,77.46926,2025-10,14.0,23.74422043010753,248.0,6.5,20.1,45.4,13.9,10.3,1.0
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2021-01,39.2,20.349327956989246,26.0,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2021-02,42.15,20.992708333333333,10.9,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2021-03,44.1,24.54771505376344,0.0,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2021-04,45.12,25.881666666666664,45.6,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2021-05,46.02,24.82271505376344,73.6,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2021-06,44.3,23.469583333333333,103.2,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2021-07,44.0,22.275537634408604,190.5,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2021-08,35.82,22.578225806451613,130.4,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2021-09,38.0,22.620555555555555,134.5,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2021-10,41.3,22.20685483870968,210.1,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2021-11,35.0,20.763194444444444,320.1,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2021-12,36.7,20.120430107526882,22.3,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2022-01,44.0,20.568817204301077,6.9,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2022-02,44.84,21.653125,0.0,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2022-03,44.95,24.467473118279568,2.3000000000000003,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2022-04,52.3,25.514583333333334,37.8,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2022-05,34.61,23.701344086021503,168.2,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2022-06,44.6,23.080416666666668,111.5,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2022-07,38.8,21.981854838709676,189.6,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2022-08,54.0,21.97271505376344,249.8,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2022-09,44.46,22.121111111111112,90.1,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2022-10,42.5,21.40416666666667,152.4,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2022-11,47.36,20.486944444444443,66.4,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2022-12,38.4,20.09704301075269,78.5,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2023-01,55.7,19.498924731182797,0.6000000000000001,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2023-02,51.0,22.005208333333332,0.1,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2023-03,52.4,23.860752688172045,17.900000000000002,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2023-04,46.0,25.89236111111111,22.0,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2023-05,32.0,24.87271505376344,157.1,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2023-06,44.8,24.300972222222224,47.0,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2023-07,44.7,22.37889784946237,145.0,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2023-08,46.0,23.9752688172043,32.1,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2023-09,46.6,23.092916666666667,114.4,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2023-10,48.7,23.67083333333333,72.4,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2023-11,49.6,22.113194444444446,95.9,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2023-12,54.1,21.44650537634409,16.8,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2024-01,55.8,21.531586021505376,8.4,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2024-02,56.9,23.686494252873562,0.2,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2024-03,57.0,26.39516129032258,0.0,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2024-04,34.2,28.69736111111111,0.7999999999999999,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2024-05,43.3,26.114381720430107,198.3,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2024-06,41.5,23.552916666666665,117.8,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2024-07,41.4,22.477150537634408,133.6,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2024-08,59.9,22.9,178.6,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2024-09,60.3,23.25513888888889,59.0,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2024-10,48.0,22.351209677419355,249.8,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2024-11,47.9,21.49222222222222,31.3,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2024-12,48.2,21.065188172043012,99.1,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2025-01,49.3,19.856317204301074,8.1,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2025-02,54.0,21.836160714285715,0.0,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2025-03,54.4,24.460349462365592,16.4,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2025-04,48.3,25.604166666666668,24.8,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2025-05,47.9,24.099462365591396,117.1,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2025-06,48.4,23.103055555555557,62.6,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2025-07,45.2,22.458467741935483,140.1,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2025-08,42.3,22.131586021505377,149.8,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2025-09,43.0,22.236527777777777,98.5,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2025-10,43.5,22.213575268817205,167.6,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2025-11,41.0,21.369166666666665,33.5,,,,,,
10101,Karnataka,Bengaluru Urban,Anekal,12.7111,77.70278,2025-12,41.2,19.696236559139784,8.700000000000001,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2021-01,12.1,21.079973118279568,17.2,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2021-02,11.96,21.599255952380954,13.4,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2021-03,13.22,25.19529569892473,0.1,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2021-04,14.18,26.341250000000002,47.2,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2021-05,14.93,25.150806451612905,89.2,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2021-06,13.86,23.685000000000002,152.5,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2021-07,13.45,22.653763440860217,199.1,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2021-08,13.4,22.86411290322581,160.0,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2021-09,12.5,22.876527777777774,154.1,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2021-10,11.6,22.53481182795699,233.5,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2021-11,9.4,21.26083333333333,305.2,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2021-12,12.8,20.74206989247312,18.8,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2022-01,33.2,21.16774193548387,3.7,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2022-02,12.1,22.404761904761905,0.0,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2022-03,12.4,25.0625,2.9,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2022-04,19.01,26.05027777777778,44.1,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2022-05,10.8,23.89032258064516,163.1,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2022-06,10.4,23.26027777777778,121.0,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2022-07,10.2,22.254704301075268,199.8,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2022-08,9.8,22.29516129032258,295.8,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2022-09,10.84,22.322777777777777,120.7,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2022-10,9.5,21.710752688172043,171.4,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2022-11,12.8,21.002916666666668,76.0,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2022-12,10.0,20.663575268817205,62.800000000000004,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2023-01,11.0,20.29018817204301,2.1,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2023-02,12.5,22.897916666666667,0.0,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2023-03,18.0,24.554435483870968,14.200000000000001,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2023-04,10.75,26.513194444444444,34.6,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2023-05,11.0,25.106989247311827,136.8,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2023-06,11.45,24.615555555555556,76.4,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2023-07,11.3,22.713709677419356,199.2,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2023-08,13.0,24.193548387096776,42.8,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2023-09,13.8,23.243055555555557,157.6,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2023-10,10.0,23.966801075268815,57.1,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2023-11,11.1,22.75375,107.5,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2023-12,9.9,22.13817204301075,11.3,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2024-01,11.1,22.333467741935483,6.4,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2024-02,12.8,24.372270114942527,0.0,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2024-03,13.3,27.180645161290325,0.0,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2024-04,18.6,29.454027777777778,0.1,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2024-05,15.9,26.396102150537637,215.6,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2024-06,12.0,23.802916666666665,170.70000000000002,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2024-07,11.8,22.781586021505376,178.1,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2024-08,9.36,23.171102150537635,186.5,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2024-09,10.2,23.384722222222223,57.1,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2024-10,10.5,22.680645161290325,256.3,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2024-11,12.0,22.247500000000002,27.8,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2024-12,12.4,21.793010752688172,92.4,,,,,,
10104,Karnataka,Bengaluru Urban,Anekal,12.78722,77.63361,2025-01,13.6,20.58965053763441,4.9,,,,,,
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2021-01,5.95,21.075806451612902,21.6,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2021-02,6.0,21.585863095238096,15.7,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2021-03,7.02,25.233198924731184,0.1,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2021-04,7.86,26.354722222222225,42.5,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2021-05,8.21,25.138575268817203,108.9,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2021-06,6.8,23.643194444444443,137.2,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2021-07,7.85,22.68548387096774,197.1,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2021-08,7.8,22.885752688172044,173.4,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2021-09,7.6,22.90277777777778,148.7,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2021-10,7.1,22.51827956989247,268.2,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2021-11,7.0,21.260694444444447,269.7,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2021-12,8.0,20.713037634408604,18.6,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2022-01,7.0,21.2997311827957,4.5,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2022-02,7.5,22.613244047619048,0.0,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2022-03,7.6,25.14166666666667,4.0,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2022-04,7.9,26.290833333333335,50.1,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2022-05,6.84,23.971908602150535,173.0,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2022-06,7.0,23.199027777777776,140.6,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2022-07,6.6,22.288844086021506,189.0,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2022-08,5.7,22.313172043010752,283.7,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2022-09,6.1,22.358333333333334,108.7,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2022-10,5.5,21.68965053763441,169.7,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2022-11,6.8,20.95638888888889,75.8,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2022-12,6.2,20.642338709677418,65.5,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2023-01,6.0,20.209139784946238,2.6,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2023-02,5.8,22.788392857142856,0.0,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2023-03,7.4,24.52715053763441,20.2,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2023-04,8.0,26.422083333333337,25.2,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2023-05,8.2,25.11021505376344,125.3,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2023-06,8.3,24.610277777777778,82.6,6.4,16.6,59.1,13.4,11.2,1.1
10105,Karnataka,Bengaluru Urban,Anekal,12.80833,77.58333,2023-07,8.4,22.693145161290325,210.6,6.4,16.6,59.1,13.4,11.2,1.1
